model,horizon_hours,seed,development_fit_seconds,final_fit_seconds,prediction_seconds,parameter_count,artifact_bytes,threshold_policy,threshold,windows,positive_windows,prevalence,average_precision,ap_lift_over_prevalence,roc_auc,brier_score,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp,false_alert_episodes,evaluated_days,false_alert_episodes_per_day,held_out_event_detected,first_alert_lead_hours
xgboost,12,42,0.27431889699983003,0.08575371899996753,0.008634326999981567,,17152,reference_0.5,0.5,2032,24,0.011811023622047244,0.014290923968312105,1.2099648959837581,0.5318102589641435,0.20591123413601756,0.4096115537848606,0.0,0.0,0.0,1645,363,24,0,99,42.333333333333336,2.338582677165354,False,
xgboost,12,42,0.27431889699983003,0.08575371899996753,0.008634326999981567,,17152,development_selected,0.35,2032,24,0.011811023622047244,0.014290923968312105,1.2099648959837581,0.5318102589641435,0.20591123413601756,0.5,0.011811023622047244,1.0,0.023346303501945526,0,2008,0,24,63,42.333333333333336,1.4881889763779528,True,11.531944444444443
xgboost,12,89,0.17993686799991337,0.04948527300007299,0.0049334599998474005,,14202,reference_0.5,0.5,2032,24,0.011811023622047244,0.011117638436556688,0.9412933876284663,0.3806440903054448,0.23592402225935902,0.37250996015936255,0.0,0.0,0.0,1496,512,24,0,140,42.333333333333336,3.3070866141732282,False,
xgboost,12,89,0.17993686799991337,0.04948527300007299,0.0049334599998474005,,14202,development_selected,0.35,2032,24,0.011811023622047244,0.011117638436556688,0.9412933876284663,0.3806440903054448,0.23592402225935902,0.5,0.011811023622047244,1.0,0.023346303501945526,0,2008,0,24,63,42.333333333333336,1.4881889763779528,True,11.531944444444443
tcn,1,17,44.635608324999794,13.81356131199982,0.020524778999970295,29185.0,126879,reference_0.5,0.5,2032,2,0.000984251968503937,0.0007431900464890139,0.7550810872328382,0.007142857142857173,0.0011311052048437655,0.5,0.0,0.0,0.0,2030,0,2,0,0,42.333333333333336,0.0,False,
tcn,1,17,44.635608324999794,13.81356131199982,0.020524778999970295,29185.0,126879,development_selected,0.95,2032,2,0.000984251968503937,0.0007431900464890139,0.7550810872328382,0.007142857142857173,0.0011311052048437655,0.5,0.0,0.0,0.0,2030,0,2,0,0,42.333333333333336,0.0,False,
tcn,1,42,34.565659563000054,11.702604212999859,0.017577614999936486,29185.0,126879,reference_0.5,0.5,2032,2,0.000984251968503937,0.0007414734223459994,0.7533369971035354,0.00443349753694583,0.0009842559057010355,0.5,0.0,0.0,0.0,2030,0,2,0,0,42.333333333333336,0.0,False,
tcn,1,42,34.565659563000054,11.702604212999859,0.017577614999936486,29185.0,126879,development_selected,0.95,2032,2,0.000984251968503937,0.0007414734223459994,0.7533369971035354,0.00443349753694583,0.0009842559057010355,0.5,0.0,0.0,0.0,2030,0,2,0,0,42.333333333333336,0.0,False,
tcn,1,89,40.13410079000005,15.47801444699985,0.017855541000017183,29185.0,126879,reference_0.5,0.5,2032,2,0.000984251968503937,0.0007415958987203068,0.7534614330998317,0.004679802955665058,0.0010130014593861297,0.5,0.0,0.0,0.0,2030,0,2,0,0,42.333333333333336,0.0,False,
tcn,1,89,40.13410079000005,15.47801444699985,0.017855541000017183,29185.0,126879,development_selected,0.95,2032,2,0.000984251968503937,0.0007415958987203068,0.7534614330998317,0.004679802955665058,0.0010130014593861297,0.5,0.0,0.0,0.0,2030,0,2,0,0,42.333333333333336,0.0,False,
tcn,3,17,35.523915348999935,12.88137314000005,0.017613296000035916,29185.0,126879,reference_0.5,0.5,2032,6,0.002952755905511811,0.0017291515203535356,0.5856059815597308,0.005018098058571914,0.0038190219541268866,0.5,0.0,0.0,0.0,2026,0,6,0,0,42.333333333333336,0.0,False,
